' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02,,,,,,,,,,,
' Test ID: 0,,,,,,,,,,,
' Run Started: 11/06(Jun)/2022 18:13:26,,,,,,,,,,,
' Scan Freq (Hz): 2000,,,,,,,,,,,
' Log Time (sec): 60; Delay Time (sec): 30; Clock Adj.: 1.000000,,,,,,,,,,,
' ,,,,,,,,,,,
' Time,DateTime,Scan,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z
' (Sec),(Serial),Number,(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec)
0.0955,44723.75968,191,-1.32,0.05,0.39,-1,0,0.03,-0.5,-0.7,0.6
0.096,44723.75968,192,-0.93,0.05,0.29,-1,0.01,0.02,0.5,-1.6,-2
0.0965,44723.75968,193,-1.02,-0.05,0.2,-1,0,0.03,1.3,0.2,1
0.097,44723.75968,194,-1.02,-0.05,-0.2,-1,0.01,0.01,2.3,0.2,1.5
0.0975,44723.75968,195,-0.93,-0.05,0.1,-1,0,0.02,-1,-0.5,1.2
0.098,44723.75968,196,-0.63,0.24,-0.1,-1,0,0.03,-0.2,0.4,-1.7
0.0985,44723.75968,197,-0.93,-0.05,0.1,-1,-0.01,0.02,-1.2,-0.7,-1
0.099,44723.75968,198,-0.93,-0.15,0.2,-0.98,0.01,0.02,1.6,2.1,0
0.0995,44723.75968,199,-0.93,0.15,0.2,-1.01,-0.01,0.04,0,-0.1,1.1
0.1,44723.75968,200,-1.12,-0.05,-0.1,-1,0,0.02,0.5,-0.4,-2.6
0.1005,44723.75968,201,-0.93,-0.15,0.2,-1,0,0.04,-1.7,-1.3,-1.1
0.101,44723.75968,202,-0.93,-0.05,0.1,-1.01,-0.01,0.04,0.1,2.2,-0.1
0.1015,44723.75968,203,-0.73,0.15,-0.1,-1.01,0,0.02,0,1.1,-1.2
0.102,44723.75968,204,-1.12,-0.15,0.1,-1,0,0.04,0.1,-0.6,-0.6
0.1025,44723.75968,205,-1.02,-0.34,-0.1,-1.01,0,0.04,-0.5,1.5,0.7
0.103,44723.75968,206,-1.12,-0.05,-0.1,-1,0,0.02,-0.5,-2.1,-2.4
0.1035,44723.75968,207,-1.02,-0.15,0,-1.01,0,0.02,0.6,0.5,-0.2
